KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,
82.01,4.1390,904,102,67.7519,0.0014,16.14583,0.00012,18.3,6.7,0.0337,0.0025,0.85,0.38,6.8,0.131,786,5.6E-06,2,"1,2,3,4,5",,
82.02,3.2778,228,31,67.0745,0.0044,10.312,0.00026,13,30,0.0182,0.0083,0.86,0.92,3.7,0.097,914,8.8E-06,2,"1,2,3,4,5",,
84.01,3.4186,638,141,68.99092,0.00073,9.287047,0.00003,21.25,0.15,0.02349,0.00013,0.0009,-,2.2,0.086,737,4.2E-05,2,"1,2,3",,
85.01,4.0746,300,117,65.0392,0.0012,5.859965,0.000039,7.7,5.7,0.0179,0.0022,0.73,0.69,3.2,0.067,1318,2.4E-05,2,"1,2,3,4",,
85.02,3.2040,91,53,66.5008,0.0019,2.15488,0.000018,4.5,1.3,0.00923,0.00013,0.277,0.083,1.7,0.035,1823,-,4,,,
85.03,4.2219,95,34,70.9924,0.0035,8.13119,0.00012,7,15,0.0111,0.0039,0.88,0.81,2.0,0.084,1177,-,4,,,
87.01,7.5747,443,38,66.6987,0.0033,289.8605,0.0047,311.1,5,0.01956,0.00033,0.02,0.066,2.4,0.877,282,1.2E-05,2,"1,2",,
89.01,10.4048,343,35,83.587,0.012,84.6763,0.0075,56,156,0.018,0.01,0.5,1.7,4.4,0.427,756,6.2E-05,2,"1,2,3",,
89.02,7.4240,347,22,222.855,0.005,107.5,0.0097,48,14,0.02241,0.00061,0.86,0.26,5.5,0.501,698,5.4E-05,2,1,,
92.01,3.7259,648,39,70.4508,0.0042,65.7008,0.0019,56,17,0.03169,0.00074,0.89,0.27,4.4,0.33,505,8.0E-06,2,"1,2,3",,
94.01,7.0052,5240,382,65.74223,0.00047,22.34094,0.00065,24.3,4,0.07,0.0024,0.39,0.45,12.6,0.165,851,2.2E-05,2,"1,2,3",,
94.02,5.3435,690,34,71.0084,0.0051,10.42361,0.00022,13.73,0.76,0.022,0.051,0.201,0.081,4.0,0.099,1099,8.8E-05,2,"1,3",,
94.03,9.0070,1778,53,94.2397,0.0044,90.5323,0.0017,84.7,4.5,0.0382,0.0016,0.006,0.076,6.9,0.419,534,4.5E-05,2,"1,3",,
97.01,5.5128,6835,1275,67.27602,0.00013,4.8854906,0.0000024,7.8838,0.0076,0.07784,0.00007,-,-,11.0,0.059,1226,1.3E-05,1,,1,
98.01,6.8561,2120,478,71.08749,0.00048,6.790119,0.000019,8.004903,0.000022,0.0534,0.0094,0.0001,-,12.1,0.077,1528,9.0E-06,2,"1,2,3",,
†99.01,19.7865,1662,72,73.0486,0.0019,817,12,327.4,4.9,0.03768,-,-,-,4.6,1.693,177,4.2E-05,3,1,1,
100.01,4.5162,1388,95,74.1515,0.0016,9.966512,0.000092,7.8,2.3,0.04475,0.00052,0.88,0.26,13.6,0.101,1493,3.1E-05,3,"1,3",1,
102.01,2.4232,860,240,68.05961,0.00042,1.7351339,0.0000041,4,1.8,0.0303,0.0024,0.76,0.52,6.9,0.03,2175,5.8E-05,2,"1,2,3",1,
103.01,3.4297,737,72,74.3331,0.0015,14.91155,0.00013,36.15,0.44,0.02642,0.00024,0.025,0.027,2.3,0.119,628,4.8E-05,2,"1,2,3",,
104.01,1.2727,1082,68,67.99798,0.0007,2.508091,0.000013,16,11,0.035,0.0048,0.45,0.86,2.8,0.032,927,8.4E-06,2,"1,2,3",,
105.01,2.3693,997,114,69.6502,0.0014,8.98092,0.000096,12.2,3.6,0.0394,0.00059,0.91,0.27,8.1,0.09,1100,4.4E-05,2,1,,
107.01,4.8694,427,91,67.0215,0.0015,7.257003,0.000062,11.608,0.094,0.01932,0.00014,0.009,0.017,2.1,0.075,943,2.6E-05,2,1,,
108.01,4.5210,465,79,75.1762,0.0016,15.96534,0.00016,22,28,0.0211,0.0047,0.6,1.1,2.7,0.128,777,3.0E-05,2,"1,2,3",,
110.01,3.9364,481,98,68.2136,0.0013,9.94075,0.000079,13,12,0.0229,0.0034,0.74,0.76,2.9,0.095,985,1.5E-05,2,1,,
111.01,4.5716,466,84,70.6135,0.0015,11.427514,0.000074,14,14,0.0222,0.0038,0.72,0.82,2.5,0.102,814,2.1E-05,2,"1,2,3",,
111.02,5.7168,420,65,65.7105,0.0022,23.6686,0.00022,28,40,0.0203,0.0052,0.5,1.2,2.3,0.166,638,2.1E-05,2,1,,
111.04,7.5697,586,38,359.3572,0.0047,103.5112,0.0066,108,2,0.02271,0.00038,0.018,0.071,2.5,0.443,391,-,2,,,
112.01,6.3832,697,67,118.1798,0.0018,51.07943,0.00063,40,29,0.0276,0.0033,0.78,0.63,3.7,0.279,539,2.2E-05,3,"2,3",1,
112.02,2.5592,109,24,66.9837,0.0036,3.709209,0.000057,6,20,0.0128,0.0079,0.9,1,1.7,0.048,1300,-,4,,,
†113.01,4.6696,956,21,87.3183,0.0041,300,-,167,50,0.066,0.021,1.02,0.31,8.3,0.888,269,1.9E-05,2,"1,2",,
115.01,2.9014,548,96,66.1414,0.0011,5.412245,0.000032,13,19,0.0231,0.006,0.5,1.2,3.4,0.063,1260,1.6E-05,2,"1,2",,
115.02,2.7875,177,28,72.0079,0.0042,7.12575,0.00017,11,41,0.0151,0.0088,0.9,1.2,2.2,0.076,1147,2.1E-05,2,1,,
116.01,3.5494,434,43,69.2763,0.003,13.57096,0.00023,21,42,0.0227,0.0078,0.8,1.1,4.7,0.119,1057,8.1E-05,2,"1,2,3",,
116.02,6.7062,554,44,84.9344,0.0044,43.8448,0.0013,54.1,0.84,0.02306,0.00033,0.021,0.025,4.8,0.26,715,7.9E-05,2,1,,
117.01,6.1280,366,68,71.7751,0.003,14.74942,0.00025,8.8,3,0.0219,0.0012,0.89,0.32,2.4,0.12,729,4.4E-05,2,"1,2,3",,
117.02,4.0855,108,29,71.6097,0.0052,4.90134,0.00015,5,13,0.0121,0.0052,0.87,0.98,1.3,0.058,1048,6.1E-05,3,"1,2",1,
117.03,3.3490,104,33,66.5106,0.0039,3.17985,0.000052,3.9,9.8,0.0118,0.0048,0.8,1,1.3,0.043,1217,5.8E-05,3,"1,2",1,
117.04,4.1670,40,8.8,70.838,0.014,7.9572,0.00051,11.11552,0.00071,0.0062,-,0.6594,-,0.7,0.08,892,-,4,,,
118.01,5.7166,239,36,71.6798,0.0044,24.99348,0.0006,17,22,0.0172,0.0036,0.86,0.68,1.8,0.17,590,3.0E-05,2,2,,
119.01,11.2962,1455,144,74.9125,0.0016,49.18381,0.00044,34.44916,0.00031,0.035,0.018,0.0009,-,3.9,0.264,462,2.3E-05,3,1,1,
122.01,3.9263,469,89,64.9714,0.0013,11.522904,0.000062,22.89,0.21,0.02023,0.00016,0.0038,-,1.9,0.101,716,1.3E-05,2,"1,2,3",,
123.01,3.6301,270,66,55.9766,0.0017,6.481654,0.000047,11,14,0.0166,0.0039,0.6,1.1,2.3,0.071,1091,3.6E-05,2,"1,2,3,4",,
123.02,6.4510,336,65,70.5763,0.0024,21.22222,0.00023,19,25,0.0183,0.0042,0.7,1,2.5,0.155,739,3.4E-05,2,"1,4",,
124.01,3.8682,205,32,70.1234,0.0039,12.69116,0.00029,14,32,0.0161,0.0057,0.85,0.95,2.3,0.111,926,2.5E-05,2,"1,2",,
124.02,5.0544,324,39,75.822,0.0038,31.71954,0.00071,28,46,0.0196,0.005,0.84,0.84,2.8,0.205,681,2.2E-05,2,1,,
127.01,2.9074,10776,1078,67.02957,0.0001,3.5787781,0.000002,10.33,0.01,0.09665,0.00007,0.0038,-,9.7,0.046,1098,1.4E-05,2,"1,2",,
128.01,3.5022,10407,1191,69.32863,0.00024,4.9427813,0.000002,12.11,0.93,0.10066,0.00052,0.58,0.16,15.7,0.059,1240,1.1E-05,2,1,,
131.01,4.6736,6399,458,66.17565,0.00071,5.014177,0.000021,8.885,0.017,0.07492,0.00012,0.0008,-,9.0,0.06,1181,-,3,,1,
135.01,2.7842,7318,766,65.41537,0.00014,3.0241018,0.0000017,8.998787,0.000005,0.0795,0.0074,0.0089,-,8.3,0.042,1250,9.3E-06,2,1,1,
137.01,3.5437,2170,155,68.40567,0.00078,7.641577,0.000023,17.82,0.11,0.04345,0.00022,0.027,0.02,6.0,0.077,949,6.2E-05,2,"1,2,3,4",,
137.02,3.7766,3025,297,61.15248,0.00045,14.859006,0.000025,19.3,2.1,0.0616,0.0013,0.84,0.21,8.6,0.12,760,4.8E-05,2,"1,4",,
137.03,2.0761,248,38,66.5071,0.0022,3.50472,0.000029,8,26,0.0167,0.0093,0.8,1.3,2.3,0.046,1228,-,4,,,
138.01,6.1103,6547,245,73.7648,0.0019,48.93807,0.00058,37,11,0.09401,0.00057,0.82,0.25,16.6,0.282,716,-,2,,,
139.01,10.7262,3268,102,75.0881,0.0028,224.7937,0.0032,126,22,0.0576,0.0022,0.67,0.37,5.7,0.741,288,1.9E-05,2,1,,
139.02,2.6756,107,13,74.354,0.0066,3.3418,0.00012,7,36,0.012,0.011,0.7,2,1.2,0.045,1169,4.4E-05,2,1,,
141.01,1.4408,2232,167,65.30523,0.00055,2.624219,0.000011,10.7,8.4,0.0489,0.0077,0.73,0.72,4.3,0.037,1090,1.5E-05,2,"1,2",,
142.01,3.7354,1095,105,66.0242,0.0013,10.914785,0.000076,23,6.9,0.03073,0.0003,-,-,2.5,0.095,661,2.9E-05,2,"1,3",,
144.01,3.7045,1287,166,66.08938,0.00084,4.176263,0.00002,7.9,4.7,0.0345,0.0047,0.53,0.78,6.6,0.053,1198,7.5E-05,2,1,1,
148.01,2.6944,417,54,57.0628,0.0021,4.777978,0.000053,9,16,0.0218,0.0076,0.8,1,2.1,0.054,908,1.5E-04,2,"1,2,3",,
148.02,3.2778,885,107,58.3427,0.0013,9.67374,0.000068,16,16,0.0305,0.006,0.72,0.82,3.0,0.087,716,1.1E-04,2,1,,
148.03,5.6283,478,37,79.0652,0.0037,42.89554,0.0007,53,16,0.02093,0.00041,0.216,0.065,2.0,0.235,435,1.3E-04,2,1,,
149.01,7.8599,886,114,78.0897,0.0017,14.55792,0.00015,14.722,0.083,0.02799,0.00016,0.0005,-,4.1,0.122,890,2.9E-05,2,1,,
150.01,3.5591,721,75,67.0052,0.0016,8.408848,0.000076,18.63,0.21,0.02552,0.00024,0.006,-,3.4,0.083,939,6.7E-05,2,1,,
150.02,5.0711,733,53,76.8337,0.003,28.57378,0.0005,33,55,0.0276,0.0081,0.7,1.1,3.7,0.187,625,6.5E-05,2,1,,
151.01,2.6612,1200,58,65.8279,0.0017,13.44739,0.00013,22.5,6.8,0.03831,0.00062,0.74,0.22,4.6,0.114,823,5.9E-05,3,2,1,
152.01,8.5892,2624,118,91.7438,0.0019,52.09119,0.00063,48.52,0.27,0.04816,0.00026,0.0002,-,4.9,0.282,497,5.6E-05,2,,,
152.02,6.7876,694,39,66.6192,0.0059,27.40415,0.00089,31.74,0.67,0.02485,0.00051,0.024,0.032,2.5,0.184,616,9.1E-05,2,,,
152.03,5.0646,586,40,69.6257,0.005,13.484,0.00039,18,66,0.024,0.015,0.5,1.9,2.4,0.114,782,9.4E-05,2,,,
153.01,2.7092,912,57,72.7136,0.0017,8.925031,0.000085,19,34,0.03,0.012,0.7,1.1,3.2,0.08,708,1.8E-05,2,"1,2",,
153.02,2.5456,734,67,61.5475,0.0015,4.753978,0.000039,8,12,0.0295,0.0086,0.83,0.8,3.1,0.053,870,2.0E-05,2,"1,2",,
155.01,4.5785,675,84,70.4159,0.0017,5.660629,0.000057,9.64,0.09,0.02428,0.0002,0.0011,-,3.8,0.065,1164,2.9E-05,2,1,1,
156.01,2.4887,510,35,76.0363,0.0028,8.04144,0.00013,18,46,0.023,0.013,0.7,1.4,1.9,0.071,642,2.4E-05,2,1,,
156.02,2.4671,304,26,78.3602,0.0039,5.18856,0.00012,10,36,0.02,0.014,0.8,1.3,1.6,0.053,743,2.8E-05,2,1,,
156.03,2.8987,1311,96,75.7045,0.001,11.776179,0.000054,32.64,0.37,0.03337,0.00028,0.027,0.027,2.8,0.091,567,1.9E-05,2,1,,
157.01,4.6051,697,83,71.1768,0.002,13.02495,0.000093,15,11,0.0278,0.0038,0.76,0.69,3.0,0.111,751,1.5E-04,1,1,1,
157.02,5.5677,898,80,81.4549,0.002,22.68696,0.00015,17.8,5,0.0322,0.0015,0.84,0.34,3.5,0.16,625,1.4E-04,1,1,1,
157.03,4.3105,1246,86,87.1604,0.0015,31.99541,0.00018,33.5,9.7,0.0387,0.002,0.84,0.35,4.2,0.201,558,1.1E-04,1,1,1,
157.04,6.3817,483,36,158.0328,0.0034,46.68872,0.00081,57.4,1.1,0.02041,0.00036,0.014,0.025,2.2,0.259,491,1.7E-04,1,1,1,
157.05,9.7575,1031,54,220.288,0.004,118.3772,0.0031,95.9,1.2,0.02976,0.00034,0.03,0.032,3.2,0.481,361,1.3E-04,1,1,1,
157.06,4.1041,274,36,71.5062,0.0038,10.3039,0.00013,18.2,5.5,0.01559,0.00033,0.128,0.038,1.7,0.095,811,2.0E-05,1,,1,
159.01,4.1073,439,46,69.7359,0.0033,8.99093,0.00017,8.9,9.1,0.0235,0.0038,0.86,0.62,3.1,0.087,963,1.1E-04,2,1,,
161.01,1.9363,827,137,66.21002,0.00063,3.105501,0.000011,11,12,0.0293,0.0068,0.69,0.91,5.3,0.043,1306,2.5E-05,2,1,,
162.01,4.6255,650,62,75.2079,0.0024,14.00656,0.00019,23.73,0.3,0.02379,0.00026,0.0008,-,2.6,0.116,733,7.2E-05,2,1,,
163.01,3.3145,603,58,72.7543,0.002,11.11978,0.00013,22,37,0.0242,0.0082,0.6,1.3,2.8,0.097,756,2.4E-05,2,1,,
165.01,2.7694,844,50,72.5644,0.002,13.22216,0.00016,29,69,0.028,0.014,0.7,1.4,1.9,0.104,541,3.8E-05,2,1,,
166.01,2.4622,649,45,71.4619,0.002,12.49334,0.00015,34,84,0.026,0.013,0.7,1.4,3.7,0.107,796,5.9E-05,2,1,,
167.01,4.2389,382,70,67.602,0.002,4.919592,0.000055,8,13,0.0195,0.0055,0.6,1.3,1.8,0.058,1072,3.0E-05,2,1,,
168.01,6.1290,330,42,66.2761,0.0041,10.74356,0.00025,12,22,0.018,0.006,0.5,1.4,3.7,0.102,1112,3.2E-05,2,1,,
168.02,5.7377,74,13,70.389,0.011,5.0918,0.00025,6.93,0.29,0.00908,0.00035,0.029,0.01,1.9,0.062,1427,-,4,,,
168.03,4.7708,90,13,71.317,0.011,7.10664,0.00032,11.4,0.53,0.00978,0.00042,0.015,0.01,2.0,0.077,1280,-,4,,,
171.01,3.6443,450,62,70.1549,0.002,5.968839,0.000069,12.89,0.17,0.02039,0.00022,0.0172,-,2.5,0.067,1125,7.6E-05,2,1,,
172.01,4.9815,540,46,70.8361,0.0034,13.72288,0.00026,21.44,0.35,0.02184,0.00031,0.0102,-,1.6,0.112,598,4.0E-05,2,1,,
173.01,4.4592,388,44,71.9655,0.0033,10.06092,0.00019,17.75,0.31,0.01863,0.00028,0,0.025,1.9,0.093,808,2.8E-05,2,1,,
174.01,3.3658,977,27,77.8417,0.0054,56.3509,0.0025,142.2,5.3,0.02897,0.00083,0.027,0.05,2.5,0.267,355,4.3E-05,2,1,,
176.01,6.5324,366,36,67.5141,0.0049,30.2303,0.0008,24,41,0.0202,0.0056,0.8,1,2.2,0.197,630,5.4E-05,2,1,,
177.01,4.8343,259,26,76.6066,0.0059,21.05996,0.00071,28,86,0.0162,0.0092,0.6,1.7,1.9,0.153,664,1.7E-04,2,1,,
179.01,10.2799,896,94,75.8002,0.0027,20.74007,0.00033,15.93,0.1,0.02832,0.00019,0.0005,-,3.3,0.152,681,-,2,,1,
180.01,3.2069,577,20,62.0919,0.0038,10.0456,0.0002,25.5,1.4,0.02066,0.00093,0.028,0.062,1.8,0.092,731,1.6E-05,2,"1,2,3",1,
183.01,2.6997,16999,1464,66.35411,0.0001,2.684327,0.0000015,8.581648,0.000005,0.122,0.019,0.0072,-,9.9,0.038,1113,1.5E-05,2,1,,
186.01,3.0609,16081,1071,66.66821,0.00012,3.2432615,0.0000021,9.1033,0.0094,0.11805,0.00009,-,-,11.5,0.044,1156,1.6E-05,2,NoObs,,
187.01,5.3569,23230,739,84.52867,0.00025,30.88252,0.000048,50.291303,0.000079,0.142,0.013,0.0007,-,11.6,0.194,499,1.2E-05,2,,,
188.01,2.2281,13737,1052,66.5079,0.00009,3.7970199,0.0000018,14.451,0.017,0.10841,0.00009,0.0004,-,8.0,0.046,859,2.1E-05,2,,,
189.01,6.0251,20886,778,81.09127,0.00024,30.360407,0.000057,42.5,1.1,0.13323,0.00083,0.29,0.18,12.6,0.181,461,6.0E-06,2,NoObs,,
190.01,4.4351,10616,431,72.30197,0.00032,12.265011,0.000024,15.27,0.32,0.11222,0.0006,0.814,0.1,16.3,0.107,843,1.0E-05,2,NoObs,,
191.01,4.1332,14205,523,65.38412,0.00025,15.358776,0.000016,28.4,1.3,0.115,0.0011,0.49,0.22,11.6,0.122,666,4.6E-05,2,,1,
191.02,2.1206,626,41,65.5052,0.0019,2.418402,0.00002,8.45,0.5,0.028,0.0013,0.0176,-,2.8,0.036,1226,1.3E-04,3,,1,
191.03,1.4863,193,21,66.3662,0.0029,0.7086217,0.000009,3.035907,0.000039,0.01386,-,0.615,-,1.4,0.016,1839,-,2,,,
191.04,5.3874,244,9.6,77.73,0.015,19.3245,0.0013,29.5,7.9,0.0148,0.0037,0.006,0.027,1.5,0.142,617,-,2,,,
192.01,4.2999,9274,511,70.02102,0.0003,10.291006,0.000018,19.951591,0.000035,0.09,0.021,0.0001,-,9.9,0.095,855,1.4E-05,2,1,,
193.01,5.0147,19422,667,90.34941,0.00029,37.590346,0.00007,74.98,0.12,0.12875,0.00016,0.0017,-,14.2,0.226,548,1.1E-05,2,,1,
194.01,2.0031,15099,118,72.46531,0.00061,3.120831,0.000011,8.9,1,0.1338,0.0037,0.79,0.24,12.0,0.043,1133,6.7E-06,2,,,
195.01,2.1873,13626,494,66.631,0.00019,3.2175236,0.0000035,11.28,0.91,0.1144,0.0019,0.57,0.28,11.9,0.043,1165,1.2E-05,2,,,
196.01,2.2855,9994,1009,70.18042,0.00009,1.8555565,0.000001,5.87,0.27,0.09728,0.00088,0.51,0.22,10.0,0.03,1377,2.1E-05,2,NoObs,,
197.01,4.2447,9974,593,66.83869,0.00027,17.276276,0.000027,36.447,0.065,0.09147,0.00012,0.0002,-,10.3,0.128,615,2.6E-05,2,NoObs,,
199.01,3.4738,9788,847,70.48111,0.00015,3.2686931,0.0000029,7.899543,0.000007,0.093,0.017,0.0001,-,8.7,0.044,1216,2.2E-05,2,NoObs,,
200.01,2.8848,7827,542,67.34424,0.0002,7.3407361,0.0000086,21.103,0.04,0.08279,0.00012,-,-,6.9,0.075,810,2.8E-05,2,,,
201.01,2.8358,5581,777,70.5598,0.0003,4.2253865,0.0000072,12.387,0.032,0.07155,0.00014,0.0103,-,7.8,0.052,1064,-,3,,,
202.01,1.9597,9499,1056,66.02029,0.00008,1.7208618,0.0000008,5.27,0.12,0.10151,0.00047,0.74,0.12,11.5,0.029,1559,1.3E-05,2,1,,
203.01,2.2791,19438,500,65.79282,0.00014,1.4857106,0.0000012,5.682,0.014,0.13028,0.00024,-,-,13.8,0.026,1518,1.6E-05,2,NoObs,,
204.01,3.0172,6631,430,66.37805,0.0003,3.2467374,0.0000053,8.855,0.021,0.07562,0.00014,-,0.01,7.9,0.043,1098,6.4E-05,2,,1,
205.01,3.0463,9293,554,75.17334,0.00022,11.720115,0.000015,30.4,3,0.0918,0.002,0.46,0.33,8.3,0.099,647,3.4E-05,2,NoObs,,
206.01,6.2693,4617,464,64.98094,0.00042,5.334076,0.000013,6.941,0.011,0.06342,0.00009,0.0016,-,8.0,0.062,1102,-,2,,,
208.01,3.2881,8559,99,67.711,0.0011,3.00385,0.000019,7.443,0.071,0.08887,0.00066,0.0003,-,8.5,0.042,1229,5.6E-05,3,,1,
209.01,10.8828,5394,209,68.6335,0.0011,50.78974,0.00031,38.12,0.12,0.06873,0.00021,0.031,0.02,7.6,0.278,522,1.2E-05,2,,,
209.02,7.1448,2166,147,78.8225,0.0031,18.79567,0.00034,21.0514,0.003,0.044,0.04,0,0.014,4.9,0.143,728,1.6E-05,2,,,
211.01,4.8294,7210,91,69.0141,0.001,372.1084,0.0015,639.12,0.68,0.081,0.096,0.023,0.039,9.6,1.048,273,-,3,,1,
212.01,3.5920,4757,250,72.23136,0.00055,5.69584,0.000048,12.88171,0.00011,0.064,0.014,0.0002,-,6.5,0.064,977,5.3E-05,2,,,
214.01,1.4852,5359,324,64.74221,0.00022,3.3118618,0.0000042,9.4,2.8,0.1106,0.0035,0.93,0.28,12.1,0.044,1119,2.2E-05,2,,,
216.01,3.6988,4986,146,74.2081,0.00097,20.17213,0.00013,52.37,0.4,0.06487,0.00038,0.0005,-,8.2,0.145,635,8.3E-05,2,NoObs,,
217.01,2.8377,20621,818,66.41389,0.00019,3.9050889,0.0000051,11.892,0.017,0.13352,0.00014,0.0004,-,10.4,0.048,935,2.0E-05,2,,1,
219.01,5.3499,2948,228,65.46923,0.00078,8.025085,0.000037,12.067,0.042,0.0505,0.00015,0.0012,-,3.8,0.077,710,1.0E-04,2,,,
220.01,2.5693,1763,265,65.93893,0.00038,2.4220912,0.0000053,6.3,3.3,0.041,0.0042,0.55,0.72,2.6,0.034,987,6.1E-05,2,,,
220.02,2.8695,100,12,66.6388,0.0072,4.12515,0.00012,11.37,0.64,0.01042,0.00052,0.0198,-,0.7,0.049,822,-,4,,,
221.01,2.6291,3689,283,65.44215,0.00037,3.4130416,0.0000073,10.544,0.04,0.05615,0.00016,-,-,4.4,0.043,935,2.7E-05,2,,,
222.01,2.8034,1203,65,65.6572,0.0017,6.312382,0.000058,18.28,0.28,0.03254,0.00039,0.0298,-,2.1,0.057,613,3.7E-05,2,1,,
222.02,3.2313,821,32,63.7728,0.0044,12.79397,0.0003,30.47,0.95,0.02647,0.00065,0.0253,-,1.7,0.092,482,3.9E-05,2,1,,
223.01,1.5125,1039,67,67.477,0.0011,3.177431,0.000019,12,24,0.034,0.013,0.7,1.2,2.7,0.041,964,3.6E-05,2,,1,
223.02,4.0259,913,25,80.0334,0.004,41.0084,0.00084,68,381,0.03,0.034,0.6,2.4,2.4,0.226,410,-,4,,,
225.01,1.2452,2371,200,74.537,0.00032,0.838598,0.0000022,4.2,1.3,0.04932,0.00032,0.47,0.14,4.9,0.018,1903,-,3,,1,
226.01,3.0258,712,39,71.1091,0.0029,8.3089,0.00014,15,39,0.028,0.014,0.7,1.3,1.6,0.076,595,6.1E-05,3,,1,
