Motive Confirmed,,,,,,,,,,,,,,,,,
,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,"Tortured
"
,"November 23, 2009",Romeo Jimmy Cabillo,Male,Philippines,Midland Review,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Marites Cablitas,Female,Philippines,News Focus and DXDX ,Philippine,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Hannibal Cachuela,Male,Philippines,Punto News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Jepon Cadagdagon,Male,Philippines,Saksi News ,Philippines,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",John Caniban,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Lea Dalmacio,Female,Philippines,Socsargen News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Noel Decina,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Gina Dela Cruz,Female,Philippines,Saksi News,Philippine,Print,Print Reporter,Politics,Yes,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Jhoy Duhay,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Jolito Evardo,Male,Philippines,UNTV,Philippine,Television,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Santos Gatchalian,Male,Philippines,DXGO,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Bienvenido Legarte Jr.,Male,Philippines,Prontiera News,Philippine,Print,"Print Reporter, Publisher",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Lindo Lupogan,Male,Philippines,Mindanao Daily Gazette,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Ernesto Maravilla,Male,Philippines,Bombo Radyo,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Rey Merisco,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Reynaldo Momay,Male,Philippines,Midland Review,Philippine,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Marife “Neneng” Montaño,Female,Philippines,Saksi News and DXCI ,Philippine,Radio,"Broadcast, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Rosell Morales,Male,Philippines,News Focus,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Victor Nuñez,Male,Philippines,UNTV,Philippine,Television,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Ronnie Perante,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Joel Parcon,Male,Philippines,Prontiera News,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Fernando Razon,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Alejandro Reblando,Male,Philippines,Manila Bulletin,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Napoleon Salaysay,Male,Philippines,Mindanao Gazette,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Ian Subang,Male,Philippines,Socsargen Today,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Andres Teodoro,Male,Philippines,Central Mindanao Inquirer,Philippine,Print,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November  2, 2009",Bladimir Antuna García,Male,Mexico,El Tiempo de Durango,Mexico,Print,Print Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,Yes,"No
"
,"October 21, 2009",Orhan Hijran,Male,Iraq,Al-Rasheed,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"September 23, 2009",Norberto Miranda Madrid,Male,Mexico,Radio Visión,Mexico,Radio,Internet Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"September 20, 2009",Bayo Ohu,Male,Nigeria,The Guardian,Nigerian,Print,"Editor, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"September  9, 2009",Sultan Mohammed Munadi,Male,Afghanistan,The New York Times,Afghanistan,Print,Print Reporter,"Human Rights, War",Yes,Local,Political Group,Dangerous Assignment,,Yes,Yes,"
"
,"September  2, 2009",Christian Gregorio Poveda Ruiz,Male,El Salvador,freelance,France,,Producer,Crime,Yes,Foreign,Criminal Group,Murder,Yes,No,Yes,"No
"
,"August 24, 2009",Janullah Hashimzada,Male,Pakistan,Shamshad TV,Afghanistan,Television,Broadcast,"Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
,"August 17, 2009",Novruzali Mamedov,Male,Azerbaijan,Talyshi Sado,Azerbaijan,Print,Editor,Culture,No,Local,Government Officials,Dangerous Assignment,,,,"
"
,"August 11, 2009",Abdulmalik Akhmedilov,Male,Russia,Hakikat and Sogratl,Russia,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"July 15, 2009",Natalya Estemirova,Female,Russia,"Novaya Gazeta, Kavkazsky Uzel",Russia,Print,Print Reporter,Human Rights,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"
"
,"July  4, 2009",Mohamud Mohamed Yusuf,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"June  9, 2009",Crispin Perez,Male,Philippines,DWDO Radio,Philippine,Radio,Columnist,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"June  8, 2009",Mukhtar Mohamed Hirabe,Male,Somalia,Radio Shabelle,Somalia,Radio,Editor,Politics,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"June  3, 2009",Jojo Trajano,Male,Philippines,Remate ,Philippines,Print,Print Reporter,Crime,No,Local,Criminal Group,Dangerous Assignment,,No,No,"No
"
,"May 31, 2009",Alaa Abdel-Wahab,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,Sports,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 26, 2009",Nur Muse Hussein,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 25, 2009",Eliseo Barrón Hernández,Male,Mexico,La Opinión,Mexico,Print,"Photographer, Print Reporter",Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
,"May 22, 2009",Abdirisak Mohamed Warsame,Male,Somalia,Radio Shabelle,Somalia,Radio,Producer,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
,"April 29, 2009",José Everardo Aguilar,Male,Colombia,Radio Súper and Bolívar Estéreo,Colombian,Radio,Broadcast,Corruption,No,Local,Paramilitary Group,Murder,Yes,No,Yes,"
"
,"March 18, 2009",Omidreza Mirsayafi,Male,Iran,Rooznegar,Iran,Radio,Internet Reporter,"Culture, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"
"
,"March 10, 2009",Suhaib Adnan,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Camera Operator,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"March 10, 2009",Haidar Hashim Suhail,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"February 23, 2009",Ernie Rollin,Male,Philippines,DXSY Radio,Philippine,Radio,Columnist,Politics,No,Local,Unknown Fire,Murder,Partial,No,No,"No
"
,"February 18, 2009",Musa Khankhel,Male,Pakistan,Geo TV and The News,,"Print, Television","Broadcast, Print Reporter","Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"Yes
"
,"February 12, 2009",Puniyamoorthy Sathiyamoorthy,Male,Sri Lanka,freelance,Sri Lanka,"Radio, Television",Broadcast,"Politics, War",Yes,Local,Government Officials,Dangerous Assignment,,No,No,"No
"
,"February 11, 2009",Anak Agung Prabangsa,Male,Indonesia,Radar Bali,Indonesian,Print,Print Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,Partial,Yes,Yes,"Yes
"
,"February 7, 2009",Ando Ratovonirina,Male,Madagascar,Radio Télévision Analamanga,Madagascar,Television,"Broadcast, Camera Operator",Politics,No,Local,Military Officials,Dangerous Assignment,,,,"
"
,"February 2, 2009",Said Tahlil Ahmed,Male,Somalia,HornAfrik,Somalia,Radio,Publisher,"Human Rights, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"January 19, 2009",Anastasiya Baburova,Female,Russia,Novaya Gazeta ,Russian/Ukrainian,Print,Print Reporter,Human Rights,Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"January 16, 2009",Orel Sambrano,Male,Venezuela,ABC de la Semana and Radio América,Venezuela,"Print, Radio",Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,"No
"
,January 2009,Francis Nyaruri,Male,Kenya,Weekly Citizen,Kenyan,Radio,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes
"
,"January 11, 2009",Uma Singh,Female,Nepal,"Janakpur Today, Radio Today ",Nepal,"Print, Radio",Broadcast,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"January 8, 2009",Lasantha Wickramatunga,Male,Sri Lanka,The Sunday Leader,Sri Lanka,Print,Editor,"Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"January 7, 2009",Basil Ibrahim Faraj,Male,Israel and the Occupied Palestinian Territory,Palestinian Media and Communication Company,Palestinian,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"January  4, 2009",Tahir Awan,Male,Pakistan,freelance,Pakistan,Print,Print Reporter,War,Yes,Local,Political Group,Dangerous Assignment,,,,"
"
,"January  4, 2009",Mohammad Imran,Male,Pakistan,Express TV,Pakistan,Television,Camera Operator,War,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"January 1, 2009",Hassan Mayow Hassan,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,Yes,"No
"
,"November 25, 2008",Vikas Ranjan,Male,India,Hindustan,India,Print,Print Reporter,Corruption,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"November 13, 2008",Armando Rodríguez Carreón,Male,Mexico,El Diario de Ciudad Juárez,Mexico,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"November 3, 2008",Abdul Razzak Johra,Male,Pakistan,Royal TV,Pakistan,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"October 23, 2008",Ivo Pukanic,Male,Croatia,Nacional,Croatia,Print,Publisher,"Corruption, Crime, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
,"October 6, 2008",Rashmi Mohamed,Male,Sri Lanka,Sirasa TV ,Sri Lanka,Television,Broadcast,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"September 27, 2008",Jaruek Rangcharoen,Male,Thailand,Matichon,Thailand,Print,Print Reporter,Corruption,No,Local,Political Group,Murder,Partial,No,No,"No
"
,"September 24, 2008",Alejandro Zenón Fonseca Estrada,Male,Mexico,EXA FM ,Mexico,Radio,Columnist,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"September 13, 2008",Musab Mahmood al-Ezawi,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"September 13, 2008",Ahmed Salim,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"September 13, 2008",Ihab Mu'd,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
,"September  2, 2008",Telman (Abdulla) Alishayev,Male,Russia,TV-Chirkei ,Russia,Television,Columnist,Culture,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"August 31, 2008",Magomed Yevloyev,Male,Russia,Ingushetiya,Russia,Radio,Publisher,"Corruption, Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
,"August 29, 2008",Abdul Aziz Shaheen,Male,Pakistan,Azadi ,Pakistan,Print,Print Reporter,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
"
,"August 21, 2008",Chalee Boonsawat,Male,Thailand,Thai Rath,Thailand,Print,Print Reporter,War,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"August 13, 2008",Javed Ahmed Mir,Male,India,Channel 9,India,Television,Camera Operator,Politics,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No
"
,"August 12, 2008",Stan Storimans,Male,Georgia,RTL Nieuws,Netherlands,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"August 10, 2008",Alexander Klimchuk,Male,Georgia,Caucasus Images,Georgia,"Print, Radio","Photographer, Print Reporter",War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"August 10, 2008",Grigol Chikhladze,Male,Georgia,Caucasus Images ,Georgia,"Print, Radio",Print Reporter,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"August 9, 2008",Dennis Cuesta,Male,Philippines,DXMD ,Philippines,Radio,Columnist,Politics,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"August 7, 2008",Martin Roxas,Male,Philippines,DYVR,Philippines,Radio,Columnist,Politics,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"August 1, 2008",Athiwat Chaiyanurat,Male,Thailand,"Matichon, Channel 7",Thailand,"Print, Television","Broadcast, Print Reporter",Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"July 21, 2008",Soran Mama Hama,Male,Iraq,Livin,Iraq,Print,Print Reporter,"Corruption, Crime, Human Rights",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"July 11, 2008",Khem Sambo,Male,Cambodia,Moneaseka Khmer,Cambodia,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"June 17, 2008",Mohieldin Al Naqeeb,Male,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"June 7 or 8, 2008",Abdul Samad Rohani,Male,Afghanistan,BBC and Pajhwok Afghan News ,Afghanistan,"Print, Radio","Broadcast, Print Reporter",Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"June 7, 2008",Nasteh Dahir Farah,Male,Somalia,freelance ,Somalia,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"May 28, 2008",Paranirupasingham Devakumar,Male,Sri Lanka,News 1st ,Sri Lanka,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"May 22, 2008",Haidar al-Hussein,Male,Iraq,Al-Sharq,Iraq,Print,Print Reporter,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"Yes
"
,"May 22, 2008",Mohammed Ibrahim,Male,Pakistan,Express TV and Daily Express,Pakistan,Television,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
,"May 21, 2008",Wissam Ali Ouda,Male,Iraq,Al-Afaq ,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"May 11, 2008",Ashok Sodhi,Male,India,Daily Excelsior,India,Print,Photographer,,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"May 4, 2008",Sarwa Abdul-Wahab,Female,Iraq,freelance ,Iraq,Radio,Internet Reporter,"Politics, War",Yes,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"April 25, 2008",Jassim al-Batat,Male,Iraq,Al-Nakhil TV and Radio ,Iraq,"Radio, Television",Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"April 16, 2008",Fadel Shana,Male,Israel and the Occupied Palestinian Territory,Reuters,Palestinian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"April 1, 2008",Mohammed Muslimuddin,Male,India,Asomiya Pratidin,India,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
,"March 29, 2008",Carlos Quispe Quispe,Male,Bolivia,Radio Municipal  ,Bolivia,Radio,Broadcast,Politics,No,Local,Mob Violence,Murder,Yes,No,No,"No
"
,"February 29, 2008",Siraj Uddin,Male,Pakistan,The Nation,Pakistan,Print,Print Reporter,,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
,"February 27, 2008",Shihab al-Tamimi,Male,Iraq,Iraqi Journalists Syndicate,Iraq,"Print, Radio, Television",Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"February 9, 2008",Chishti Mujahid,Male,Pakistan,Akbar-e-Jehan,Pakistan,Print,"Columnist, Photographer","Corruption, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"January 29, 2008",Alaa Abdul-Karim al-Fartoosi,Male,Iraq,Al-Forat ,Iraq,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"January 28, 2008",Hassan Kafi Hared,Male,Somalia,Somali National News Agency ,Somalia,"Print, Radio","Internet Reporter, Print Reporter","Politics, War",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
,"January 15, 2008",Carsten Thomassen,Male,Afghanistan,Dagbladet,Norway,Print,Print Reporter,"Politics, War",No,Foreign,Political Group,Murder,Yes,No,No,"No
"
,"November 27, 2007",Suresh Linbiyo,Male,Sri Lanka,Voice of Tigers ,Sri Lanka,Radio,Technician,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"November 27, 2007",T. Tharmalingam,Male,Sri Lanka,Voice of Tigers,Sri Lanka,Radio,Technician,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"November 27, 2007",Isaivizhi Chempiyan,Female,Sri Lanka,Voice of Tigers ,Sri Lanka,Radio,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
,"November 23, 2007",Zubair Ahmed Mujahid,Male,Pakistan,Jang,Pakistan,Print,Print Reporter,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No
"
,"October 28, 2007",Shehab Mohammad al-Hiti,Male,Iraq,Baghdad al-Youm,Iraq,Print,Editor,Politics,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"October 24, 2007",Alisher Saipov,Male,Kyrgyzstan,Siyosat,Kyrgyzstan,"Print, Radio, Radio","Broadcast, Editor, Internet Reporter, Print Reporter","Human Rights, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
,"October 19, 2007",Bashiir Noor Gedi,Male,Somalia,Radio Shabelle,Somalia,Radio,"Editor, Producer",War,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"October 19, 2007",Muhammad Arif,Male,Pakistan,ARY One World TV ,Pakistan,Television,Camera Operator,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
,"October 18, 2007",Carlos Salgado,Male,Honduras,Radio Cadena Voces,Honduras,Radio,Columnist,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"October 14, 2007",Salih Saif Aldin,Male,Iraq,The Washington Post,Iraq,Print,Print Reporter,"Politics, War",No,Foreign,Political Group,Murder,Yes,No,No,"No
"
,"October  4, 2007",Birendra Shah,Male,Nepal,"Nepal FM, Dristi Weekly, and Avenues TV",Nepal,"Print, Radio, Television","Broadcast, Print Reporter",Crime,No,Local,Political Group,Murder,Yes,Yes,Yes,"No
"
,"September 27, 2007",Kenji Nagai,Male,Burma,APF News,Japan,"Print, Television","Camera Operator, Photographer","Human Rights, Politics",No,Foreign,Military Officials,Dangerous Assignment,,No,No,"No
"
,"September 20, 2007",Muhannad Ghanem Ahmad al-Obaidi,Male,Iraq,Dar al-Salam,Iraq,Radio,"Broadcast, Producer",Culture,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
,"September  3, 2007",Amer Malallah al-Rashidi,Male,Iraq,Al-Mosuliya,Iraq,Television,Camera Operator,War,No,Local,Political Group,Murder,Yes,No,No,"No
"
,"August 24, 2007",Abdulkadir Mahad Moallim Kaskey,Male,Somalia,Radio Banadir,Somalia,Radio,Broadcast,Politics,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"August 22, 2007",Tito Alberto Palma,Male,Paraguay,Radio Mayor Otaño and Radio Chaco Boreal,Chile,Radio,Broadcast,"Corruption, Crime",No,Foreign,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"August 11, 2007",Mahad Ahmed Elmi,Male,Somalia,Capital Voice,Somalia,Radio,"Columnist, Editor, Producer",War,No,Local,Political Group,Murder,Yes,No,No,"No
"
